,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link
0,61,Hamlet (1990),WB,"$20,710,451",624,"$116,975",4,1990,/movies/?id=hamlet91.htm
0,62,Jetsons: The Movie,Uni.,"$20,305,841","1,566","$5,029,640","1,562",1990,/movies/?id=jetsonsthemovie.htm
0,63,Stella,BV,"$20,240,128","1,393","$4,311,656","1,033",1990,/movies/?id=stella.htm
0,64,Taking Care of Business,BV,"$20,005,435","1,176","$3,620,054","1,074",1990,/movies/?id=takingcareofbusiness.htm
0,65,Betsy's Wedding,BV,"$19,740,070","1,058","$4,662,488","1,048",1990,/movies/?id=betsyswedding.htm
0,66,Duck Tales: The Movie,BV,"$18,115,724","1,558","$3,870,366","1,549",1990,/movies/?id=ducktalesthemovie.htm
0,67,Sibling Rivalry,Col.,"$17,854,933","1,455","$4,017,930","1,448",1990,/movies/?id=siblingrivalry.htm
0,68,White Palace,Uni.,"$17,487,531",892,"$1,078,697",99,1990,/movies/?id=whitepalace.htm
0,69,The Guardian (1990),Uni.,"$17,037,887","1,736","$5,565,620","1,684",1990,/movies/?id=guardian.htm
0,70,Death Warrant,MGM,"$16,853,487","1,090","$5,019,902","1,089",1990,/movies/?id=deathwarrant.htm
0,71,Tremors,Uni.,"$16,667,084","1,477","$3,731,520","1,472",1990,/movies/?id=tremors.htm
0,72,Tales From the Darkside: The Movie,Par.,"$16,324,573","1,535","$5,028,096","1,535",1990,/movies/?id=talesfromthedarkside.htm
0,73,Men at Work,Triu,"$16,247,964","1,035","$3,184,311",962,1990,/movies/?id=menatwork.htm
0,74,I Love You to Death,TriS,"$16,186,793","1,095","$4,014,640","1,072",1990,/movies/?id=iloveyoutodeath.htm
0,75,Mo' Better Blues,Uni.,"$16,153,593",572,"$4,387,360",544,1990,/movies/?id=mobetterblues.htm
0,76,Avalon,Triu,"$15,740,796",635,"$226,613",7,1990,/movies/?id=avalon.htm
0,77,The Bonfire of the Vanities,WB,"$15,691,192","1,395","$4,216,063","1,373",1990,/movies/?id=bonfireofthevanities.htm
0,78,Revenge,Col.,"$15,645,616","1,382","$6,086,672","1,379",1990,/movies/?id=revenge.htm
0,79,Reversal of Fortune,WB,"$15,445,131",661,"$176,985",7,1990,/movies/?id=reversaloffortune.htm
0,80,Mr. Destiny,BV,"$15,379,253","1,025","$2,991,605",727,1990,/movies/?id=mrdestiny.htm
0,81,Spaced Invaders,BV,"$15,369,573","1,845","$4,474,336","1,821",1990,/movies/?id=spacedinvaders.htm
0,82,Quick Change,WB,"$15,260,154","1,596","$4,700,960","1,596",1990,/movies/?id=quickchange.htm
0,83,Fire Birds,BV,"$14,760,451","2,006","$6,358,761","2,006",1990,/movies/?id=firebirds.htm
0,84,Wild at Heart,Gold.,"$14,560,247",625,"$2,913,764",532,1990,/movies/?id=wildatheart.htm
0,85,The Lord of the Flies,Col.,"$13,985,225",919,"$4,410,457",888,1990,/movies/?id=lordoftheflies.htm
0,86,The Grifters,Mira.,"$13,446,769",780,"$71,034",2,1990,/movies/?id=grifters.htm
0,87,Crazy People,Par.,"$13,236,513","1,389","$3,357,800","1,389",1990,/movies/?id=crazypeople.htm
0,88,Bad Influence,Triu,"$12,626,043","1,300","$3,822,019","1,298",1990,/movies/?id=badinfluence.htm
0,89,Cinema Paradiso,Mira.,"$11,990,401",124,"$16,552",1,1990,/movies/?id=cinemaparadiso.htm
0,90,Graveyard Shift,Par.,"$11,582,891","1,603","$5,082,300","1,603",1990,/movies/?id=graveyardshift.htm
0,91,Henry & June,Uni.,"$11,567,449",295,"$1,032,942",76,1990,/movies/?id=henryandjune.htm
0,92,Pump Up the Volume,NL,"$11,541,758",821,"$1,601,489",799,1990,/movies/?id=pumpupthevolume.htm
0,93,Opportunity Knocks,Uni.,"$11,359,129","1,275","$3,512,625","1,275",1990,/movies/?id=opportunityknocks.htm
0,94,Q & A,TriS,"$11,207,891",923,"$2,816,605",912,1990,/movies/?id=qanda.htm
0,95,Wild Orchid,Triu,"$11,060,485",822,"$2,622,637",819,1990,/movies/?id=wildorchid.htm
0,96,Nuns on the Run,Fox,"$10,959,015",702,"$658,835",76,1990,/movies/?id=nunsontherun.htm
0,97,Narrow Margin,TriS,"$10,873,237","1,253","$3,628,060","1,132",1990,/movies/?id=narrowmargin.htm
0,98,The Witches,WB,"$10,360,553",879,"$2,221,402",879,1990,/movies/?id=witches.htm
0,99,Adventures of Milo and Otis (Re-issue),Col.,"$10,351,534",915,"$1,708,915",914,1990,/movies/?id=miloandotis90.htm
0,100,The Two Jakes,Par.,"$10,005,969","1,206","$3,729,149","1,206",1990,/movies/?id=twojakes.htm
0,1,Terminator 2: Judgment Day,TriS,"$204,843,345","2,495","$31,765,506","2,274",1991,/movies/?id=terminator2.htm
0,2,Robin Hood: Prince of Thieves,WB,"$165,493,908","2,369","$25,625,602","2,369",1991,/movies/?id=robinhoodprinceofthieves.htm
0,3,Beauty and the Beast,BV,"$145,863,363","1,960","$162,146",2,1991,/movies/?id=beautyandthebeast.htm
0,4,The Silence of the Lambs,Orion,"$130,742,922","1,642","$13,766,814","1,497",1991,/movies/?id=silenceofthelambs.htm
0,5,City Slickers,Col.,"$124,033,791","2,171","$13,032,121","1,992",1991,/movies/?id=cityslickers.htm
0,6,Hook,TriS,"$119,654,823","2,254","$13,522,535","2,197",1991,/movies/?id=hook.htm
0,7,The Addams Family,Par.,"$113,502,426","2,411","$24,203,754","2,411",1991,/movies/?id=addamsfamily.htm
0,8,Sleeping with the Enemy,Fox,"$101,599,005","1,545","$13,777,943","1,406",1991,/movies/?id=sleepingwiththeenemy.htm
0,9,Father of the Bride,BV,"$89,325,780","1,712","$7,031,146","1,561",1991,/movies/?id=fatherofthebride.htm
0,10,The Naked Gun 2 1/2: The Smell of Fear,Par.,"$86,930,411","2,378","$20,817,139","2,378",1991,/movies/?id=nakedgun2.htm
0,11,Fried Green Tomatoes,Uni.,"$82,418,501","1,331","$105,317",5,1991,/movies/?id=friedgreentomatoes.htm
0,12,Cape Fear,Uni.,"$79,091,969","1,707","$10,261,025",924,1991,/movies/?id=capefear.htm
0,13,Teenage Mutant Ninja Turtles II,NL,"$78,656,813","2,868","$20,030,473","2,868",1991,/movies/?id=tnmt2.htm
0,14,Backdraft,Uni.,"$77,868,585","1,983","$12,686,200","1,852",1991,/movies/?id=backdraft.htm
0,15,Star Trek VI: The Undiscovered Country,Par.,"$74,888,996","2,147","$18,162,837","1,804",1991,/movies/?id=startrek6.htm
0,16,The Prince of Tides,Col.,"$74,787,599","1,546","$10,035,412","1,405",1991,/movies/?id=princeoftides.htm
0,17,JFK,WB,"$70,405,498","1,395","$5,223,658","1,164",1991,/movies/?id=jfk.htm
0,18,Hot Shots!,Fox,"$69,467,617","1,999","$10,848,182","1,929",1991,/movies/?id=hotshots.htm
0,19,What About Bob?,BV,"$63,707,829","1,805","$9,216,334","1,463",1991,/movies/?id=whataboutbob.htm
0,20,101 Dalmatians (Re-issue) (1991),BV,"$60,830,285","1,825","$10,279,044","1,777",1991,/movies/?id=101dalmatians91.htm
0,21,The Last Boy Scout,WB,"$59,509,925","1,823","$7,923,669","1,823",1991,/movies/?id=lastboyscout.htm
0,22,My Girl,Col.,"$59,489,799","2,089","$12,391,783","2,080",1991,/movies/?id=mygirl.htm
0,23,Boyz N the Hood,Col.,"$57,504,069",931,"$10,023,462",829,1991,/movies/?id=boyznthehood.htm
0,24,Doc Hollywood,WB,"$54,830,779","1,694","$7,251,854","1,575",1991,/movies/?id=dochollywood.htm
0,25,Bugsy,TriS,"$49,114,016","1,253","$140,358",4,1991,/movies/?id=bugsy.htm
0,26,New Jack City,WB,"$47,624,353",905,"$7,039,622",862,1991,/movies/?id=newjackcity.htm
0,27,The Rocketeer,BV,"$46,704,056","1,903","$9,600,754","1,616",1991,/movies/?id=rocketeer.htm
0,28,Thelma and Louise,MGM,"$45,360,915","1,180","$6,101,297","1,179",1991,/movies/?id=thelmaandlouise.htm
0,29,Point Break,Fox,"$43,218,387","1,625","$8,514,616","1,615",1991,/movies/?id=pointbreak.htm
0,30,Regarding Henry,Par.,"$43,001,500","1,090","$6,146,782",800,1991,/movies/?id=regardinghenry.htm
0,31,The Fisher King,TriS,"$41,895,491","1,551","$311,662",10,1991,/movies/?id=fisherking.htm
0,32,Out for Justice,WB,"$39,673,161","2,010","$10,524,026","2,010",1991,/movies/?id=outforjustice.htm
0,33,The Doctor,BV,"$38,120,905",958,"$165,392",6,1991,/movies/?id=doctor.htm
0,34,Bill and Ted's Bogus Journey,Orion,"$38,037,513","1,649","$10,241,268","1,620",1991,/movies/?id=billandtedsbogusjourney.htm
0,35,Dead Again,Par.,"$38,016,380",940,"$3,479,395",450,1991,/movies/?id=deadagain.htm
0,36,Soapdish,Par.,"$36,489,888","1,275","$6,736,380","1,275",1991,/movies/?id=soapdish.htm
0,37,Freddy's Dead: The Final Nightmare,NL,"$34,872,033","1,862","$12,966,525","1,862",1991,/movies/?id=freddysdeadfinalnightmare.htm
0,38,White Fang,BV,"$34,793,160","1,259","$5,640,712","1,108",1991,/movies/?id=whitefang.htm
0,39,The Doors,TriS,"$34,416,893","1,236","$9,151,800",840,1991,/movies/?id=doors.htm
0,40,King Ralph,Uni.,"$34,002,045","1,646","$8,327,550","1,617",1991,/movies/?id=kingralph.htm
0,41,Curly Sue,WB,"$33,691,313","1,634","$4,974,958","1,634",1991,/movies/?id=curlysue.htm
0,42,Dying Young,Fox,"$33,669,178","1,552","$9,725,885","1,552",1991,/movies/?id=dyingyoung.htm
0,43,Grand Canyon,Fox,"$33,243,020","1,223","$67,546",2,1991,/movies/?id=grandcanyon.htm
0,44,Jungle Fever,Uni.,"$32,482,682",844,"$5,332,860",636,1991,/movies/?id=junglefever.htm
0,45,Double Impact,Col.,"$30,102,717","1,747","$7,574,703","1,735",1991,/movies/?id=doubleimpact.htm
0,46,L.A. Story,TriS,"$28,862,081","1,122","$6,616,915","1,091",1991,/movies/?id=lastory.htm
0,47,Deceived,BV,"$28,738,096","1,201","$4,316,719",969,1991,/movies/?id=deceived.htm
0,48,Necessary Roughness,Par.,"$26,255,594","1,695","$6,513,130","1,695",1991,/movies/?id=necessaryroughness.htm
0,49,The Hard Way,Uni.,"$25,895,485","1,629","$6,301,470","1,622",1991,/movies/?id=hardway.htm
0,50,Other People's Money,WB,"$25,682,090","1,249","$5,012,332","1,246",1991,/movies/?id=otherpeoplesmoney.htm
0,51,Don't Tell Mom the Babysitter's Dead,WB,"$25,196,249","1,817","$4,233,415","1,802",1991,/movies/?id=donttellmomthebabysittersdead.htm
0,52,Problem Child 2,Uni.,"$25,104,700","1,500","$5,372,880","1,464",1991,/movies/?id=problemchild2.htm
0,53,Little Man Tate,Orion,"$25,010,896","1,012","$230,106",7,1991,/movies/?id=littlemantate.htm
0,54,Class Action,Fox,"$24,277,858","1,132","$4,207,923",778,1991,/movies/?id=classaction.htm
0,55,The People Under the Stairs,Uni.,"$24,204,154","1,850","$5,522,250","1,850",1991,/movies/?id=peopleunderthestairs.htm
0,56,Lionheart,Uni.,"$24,078,196","1,485","$7,094,552","1,462",1991,/movies/?id=lionheart.htm
0,57,Oscar,BV,"$23,562,716","1,391","$5,091,027","1,388",1991,/movies/?id=oscar.htm
0,58,Frankie and Johnny (1991),Par.,"$22,773,535","1,150","$4,768,177","1,150",1991,/movies/?id=frankieandjohnny.htm
0,59,Pure Luck,Uni.,"$22,641,969","1,569","$5,010,810","1,561",1991,/movies/?id=pureluck.htm
0,60,An American Tail: Fievel Goes West,Uni.,"$22,166,041","1,698","$3,435,625","1,680",1991,/movies/?id=fievelgoeswest.htm
0,61,Only the Lonely,Fox,"$21,830,957","1,553","$5,997,993","1,521",1991,/movies/?id=onlythelonely.htm
0,62,Ricochet,WB,"$21,756,163","1,560","$4,831,181","1,560",1991,/movies/?id=ricochet.htm
0,63,F/X 2,Orion,"$21,082,165","1,502","$5,455,058","1,499",1991,/movies/?id=fx2.htm
0,64,Mobsters,Uni.,"$20,246,790","1,449","$6,030,585","1,441",1991,/movies/?id=mobsters.htm
0,65,House Party 2,NL,"$19,438,638","1,185","$6,027,105","1,165",1991,/movies/?id=houseparty2.htm
0,66,Mortal Thoughts,Col.,"$18,784,957","1,196","$6,068,524",963,1991,/movies/?id=mortalthoughts.htm
0,67,Paradise (1991),BV,"$18,634,643",918,"$38,778",2,1991,/movies/?id=paradise91.htm
0,68,For the Boys,Fox,"$17,860,280","1,308","$71,348",2,1991,/movies/?id=fortheboys.htm
0,69,The Neverending Story II,WB,"$17,373,527","1,208","$4,912,124","1,188",1991,/movies/?id=neverendingstory2.htm
0,70,Hudson Hawk,TriS,"$17,218,080","2,072","$7,082,820","2,071",1991,/movies/?id=hudsonhawk.htm
0,71,Defending Your Life,WB,"$16,371,128",715,"$92,622",3,1991,/movies/?id=defendingyourlife.htm
0,72,Billy Bathgate,BV,"$15,565,363","1,177","$4,051,590",912,1991,/movies/?id=billybathgate.htm
0,73,Highlander 2: The Quickening,Istr,"$15,556,340","1,009","$5,280,490",960,1991,/movies/?id=highlander2.htm
0,74,Switch,WB,"$15,545,943","1,013","$3,770,991","1,013",1991,/movies/?id=switch.htm
0,75,A Kiss Before Dying,Uni.,"$15,429,177","1,546","$4,348,165","1,523",1991,/movies/?id=kissbeforedying.htm
0,76,Shipwrecked,BV,"$15,104,156","1,393","$3,871,766","1,386",1991,/movies/?id=shipwrecked.htm
0,77,Toy Soldiers,TriS,"$15,073,942","1,358","$4,182,300","1,350",1991,/movies/?id=toysoldiers.htm
0,78,Madonna: Truth or Dare,Mira.,"$15,012,935",652,"$543,250",51,1991,/movies/?id=truthordare.htm
0,79,Child's Play 3,Uni.,"$14,960,255","2,130","$5,718,940","2,126",1991,/movies/?id=childsplay3.htm
0,80,The Commitments,Fox,"$14,919,570",588,"$271,333",8,1991,/movies/?id=commitments.htm
0,81,Once Around,Uni.,"$14,851,083",735,"$309,571",16,1991,/movies/?id=oncearound.htm
0,82,All I Want for Christmas,Par.,"$14,812,144","1,507","$3,645,720","1,507",1991,/movies/?id=alliwantforchristmas.htm
0,83,Not Without My Daughter,MGM,"$14,789,113","1,141","$3,804,055","1,137",1991,/movies/?id=notwithoutmydaughter.htm
0,84,Flight of the Intruder,Par.,"$14,587,732","1,489","$5,725,133","1,489",1991,/movies/?id=flightoftheintruder.htm
0,85,Ernest Scared Stupid,BV,"$14,143,280","1,787","$4,453,132","1,782",1991,/movies/?id=ernestscaredstupid.htm
0,86,The Perfect Weapon,Par.,"$14,061,361","1,229","$3,934,572","1,229",1991,/movies/?id=perfectweapon.htm
0,87,Drop Dead Fred,NL,"$13,878,334",933,"$3,625,648",851,1991,/movies/?id=dropdeadfred.htm
0,88,The Marrying Man,BV,"$12,454,768","1,343","$4,030,749","1,340",1991,/movies/?id=marryingman.htm
0,89,Shattered,MGM,"$11,511,031","1,288","$3,457,105","1,286",1991,/movies/?id=shattered.htm
0,90,Career Opportunities,Uni.,"$11,336,986","1,440","$4,024,800","1,440",1991,/movies/?id=careeropportunities.htm
0,91,One Good Cop,BV,"$11,276,846","1,454","$3,360,277","1,353",1991,/movies/?id=onegoodcop.htm
0,92,V.I. Warshawski,BV,"$11,128,309","1,133","$3,603,338","1,133",1991,/movies/?id=viwarshawski.htm
0,93,The Super,Fox,"$11,000,863","1,581","$3,656,390","1,578",1991,/movies/?id=super.htm
0,94,A Rage in Harlem,Mira.,"$10,438,504",545,"$2,458,080",540,1991,/movies/?id=rageinharlem.htm
0,95,"He Said, She Said",Par.,"$9,804,775",908,"$2,857,164",908,1991,/movies/?id=hesaidshesaid.htm
0,96,The Butcher's Wife,Par.,"$9,689,816",800,"$2,442,229",800,1991,/movies/?id=butcherswife.htm
0,97,Scenes From a Mall,BV,"$9,563,393","1,039","$3,825,068","1,039",1991,/movies/?id=scenesfromamall.htm
0,98,Guilty by Suspicion,WB,"$9,480,198",817,"$2,278,290",817,1991,/movies/?id=guiltybysuspicion.htm
0,99,Body Parts,Par.,"$9,188,150","1,315","$3,032,258","1,315",1991,/movies/?id=bodyparts.htm
0,100,Stone Cold,Col.,"$9,151,887","1,729","$2,811,154","1,729",1991,/movies/?id=stonecold.htm
0,1,Aladdin,BV,"$217,350,219","2,331","$196,664",2,1992,/movies/?id=aladdin.htm
0,2,Home Alone 2: Lost in New York,Fox,"$173,585,516","2,461","$31,126,882","2,222",1992,/movies/?id=homealone2.htm
0,3,Batman Returns,WB,"$162,831,698","2,644","$45,687,711","2,644",1992,/movies/?id=batmanreturns.htm
0,4,Lethal Weapon 3,WB,"$144,731,527","2,568","$33,243,086","2,510",1992,/movies/?id=lethalweapon3.htm
0,5,A Few Good Men,Col.,"$141,340,178","2,201","$15,517,468","1,925",1992,/movies/?id=fewgoodmen.htm
0,6,Sister Act,BV,"$139,605,150","2,087","$11,894,587","1,430",1992,/movies/?id=sisteract.htm
0,7,The Bodyguard,WB,"$121,945,720","1,806","$16,611,793","1,717",1992,/movies/?id=bodyguard.htm
0,8,Wayne's World,Par.,"$121,697,323","1,878","$18,122,710","1,768",1992,/movies/?id=waynesworld.htm
0,9,Basic Instinct,TriS,"$117,727,224","1,884","$15,129,385","1,567",1992,/movies/?id=basicinstinct.htm
0,10,A League of Their Own,Sony,"$107,533,928","2,084","$13,739,456","1,782",1992,/movies/?id=leagueoftheirown.htm
0,11,Unforgiven,WB,"$101,157,447","2,087","$15,018,007","2,071",1992,/movies/?id=unforgiven.htm
0,12,The Hand That Rocks the Cradle,BV,"$88,036,683","1,759","$7,675,016",766,1992,/movies/?id=handthatrocksthecradle.htm
0,13,Under Siege,WB,"$83,563,139","2,248","$15,760,003","2,042",1992,/movies/?id=undersiege.htm
0,14,Patriot Games,Par.,"$83,351,587","2,396","$18,511,191","2,365",1992,/movies/?id=patriotgames.htm
0,15,Bram Stoker's Dracula,Col.,"$82,522,790","2,491","$30,521,679","2,491",1992,/movies/?id=bramstokersdracula.htm
0,16,White Men Can't Jump,Fox,"$76,253,806","1,929","$14,711,124","1,923",1992,/movies/?id=whitemencantjump.htm
0,17,The Last of the Mohicans,Fox,"$75,505,856","1,856","$10,976,661","1,491",1992,/movies/?id=lastofthemohicans.htm
0,18,Boomerang,Par.,"$70,052,444","2,145","$13,640,706","2,127",1992,/movies/?id=boomerang.htm
0,19,Scent of a Woman,Uni.,"$63,095,253","1,252","$357,468",20,1992,/movies/?id=scentofawoman.htm
0,20,The Crying Game,Mira.,"$62,548,947","1,097","$101,107",6,1992,/movies/?id=cryinggame.htm
0,21,Far and Away,Uni.,"$58,883,840","1,885","$10,194,520","1,583",1992,/movies/?id=farandaway.htm
0,22,"Honey, I Blew Up the Kid",BV,"$58,662,452","2,429","$11,083,318","2,311",1992,/movies/?id=honeyiblewupthekid.htm
0,23,Housesitter,Uni.,"$58,500,635","1,987","$9,106,950","1,671",1992,/movies/?id=housesitter.htm
0,24,Death Becomes Her,Uni.,"$58,422,650","1,866","$12,110,355","1,409",1992,/movies/?id=deathbecomesher.htm
0,25,Unlawful Entry,Fox,"$57,138,719","1,530","$10,067,609","1,511",1992,/movies/?id=unlawfulentry.htm
0,26,Beethoven,Uni.,"$57,114,049","1,938","$7,587,565","1,688",1992,/movies/?id=beethoven.htm
0,27,Forever Young,WB,"$55,956,187","1,710","$5,609,875","1,710",1992,/movies/?id=foreveryoung.htm
0,28,Alien 3,Fox,"$55,473,545","2,227","$19,449,867","2,227",1992,/movies/?id=alien3.htm
0,29,My Cousin Vinny,Fox,"$52,929,168","1,506","$7,416,751","1,227",1992,/movies/?id=mycousinvinny.htm
0,30,Sneakers,Uni.,"$51,432,691","2,062","$10,031,145","1,731",1992,/movies/?id=sneakers.htm
0,31,The Mighty Ducks,BV,"$50,752,337","1,873","$6,035,133","1,280",1992,/movies/?id=mightyducks.htm
0,32,Malcolm X,WB,"$48,169,910","1,249","$9,871,125","1,124",1992,/movies/?id=malcolmx.htm
0,33,Single White Female,Col.,"$48,017,402","1,744","$10,212,401","1,744",1992,/movies/?id=singlewhitefemale.htm
0,34,The Distinguished Gentleman,BV,"$46,666,502","1,984","$10,611,040","1,933",1992,/movies/?id=distinguishedgentleman.htm
0,35,Medicine Man,BV,"$45,500,797","1,370","$8,494,271","1,304",1992,/movies/?id=medicineman.htm
0,36,Passenger 57,WB,"$44,065,653","1,974","$10,513,925","1,734",1992,/movies/?id=passenger57.htm
0,37,A River Runs Through It,Col.,"$43,440,294","1,080","$298,277",12,1992,/movies/?id=riverrunsthroughit.htm
0,38,Encino Man,BV,"$40,693,477","2,090","$9,866,120","2,050",1992,/movies/?id=encinoman.htm
0,39,Mo' Money,Col.,"$40,227,006","1,705","$12,385,415","1,689",1992,/movies/?id=momoney.htm
